,Movie,Day of Release,Language
468,Hora,2020,Marathi
469,Salman Society,2020,Marathi
470,Iblis,2020,Marathi
471,Hridayi Vasant Phultana,2020,Marathi
472,Akrandan ,2020,Marathi
473,Rajan,2020,Marathi
474,Sangat ,2020,Marathi
475,De Dhakka 2,2020,Marathi
476,U Turn 2,2020,Kannada
477,Salaga,2020,Kannada
478,Garuda,2020,Kannada
479,Rakkam,2020,Kannada
480, Thirugso Meese,2020,Kannada
481,Home Minister,2020,Kannada
482,Real Estate,2020,Kannada
483,Chowki,2020,Kannada
484,Ambani Putra,2020,Kannada
485,Puraave,2020,Kannada
486,Phantom,2020,Kannada
487,Pursothrama,2020,Kannada
488,Arishadvarga,2020,Kannada
489,April,2020,Kannada
490,2403ft.,2020,Malayalam
491,Apara Sundara Neelakasham,2020,Malayalam
492,Eval Gopika,2020,Malayalam
493,Kottayam Kunjachan 2,2020,Malayalam
494,Toll Gate,2020,Malayalam
495,Innumuthal,2020,Malayalam
496,Padmini,2020,Malayalam
497,Veerappan,2020,Malayalam
498,Jallianwala Bagh,2020,Malayalam
499,Nanak,2020,Punjabi
500,Television,2020,Punjabi
501,Jhanu Goyenda,2020,Bengali
502,Das Da,2020,Bengali
503,Bhotbhoti,2020,Bengali
504,Shobdo Jobdo,2020,Bengali
505,Dadagiri,2020,Bengali
506,Gujjubhai 3,2020,Gujarati
507,Mr. Jasoos,2020,Gujarati
508,The Reunions,2020,Gujarati
509,Mati Helo Pade Re ,2020,Rajasthani
510,Rajkumar,2020,Bhojpuri
511,Veer Yodha-Mahabali,2020,Bhojpuri
512,Chuskit,2020,Ladakhi
513,Munnabhai 3,2020,Hindi
514,Krrish 4,2020,Hindi
515,Zehan,2020,Hindi
516,Dr. Abdul Kalam,2020,Hindi
517,Gyarah,2020,Hindi
518,Aankhen 2,2020,Hindi
519,Love in Tokyo,2020,Hindi
520,Sons of Sardar: Battle of Saragarhi,2020,Hindi
521,Kick 2,2020,Hindi
522,Brij Mohan Amar Rahe,2020,Hindi
523,Sapna Didi,2020,Hindi
524,Gulab Jamun,2020,Hindi
525,Mogul,2020,Hindi
526,Song of Scorpions,2020,Hindi
527,Cargo,2020,Hindi
528,Teen Aur Aadha,2020,Hindi
529,Jasmine,2020,Hindi
530,Indira- The Movie,2020,Hindi
531,Sher Khan,2020,Hindi
532,Paani,2020,Hindi
533,The Storyteller ,2020,Hindi
534,"Police Channel: Raman Raghav, A City, A Killer",2020,Hindi
535,Ganit,2020,Hindi
536,Aapkey Kamre Mein Koi Rehta Hai,2020,Hindi
537,Ye Saccha Swabhimaan Sahi Sangharsh,2020,Hindi
538,Lihaaf: The Quilt,2020,Hindi
539,Bhonsle,2020,Hindi
540,Dancing Dad,2020,Hindi
541,Campus,2020,Hindi
542,Waah Zindagi,2020,Hindi
543,T For Taj Mahal,2020,Hindi
544,Blockbuster,2020,Hindi
545,Radha Kyun Gori Main Kyun Kaala,2020,Hindi
546,Yeh Hai Paranormal Ishq,2020,Hindi
547,Gaalib,2020,Hindi
548,Kya Tum,2020,Hindi
549,Saare Jahaan Se Achcha,2020,Hindi
550,Gunjan Saxena,2020,Hindi
551,Sridevi Bungalow,2020,Hindi
552,Fauji Calling,2020,Hindi
553,Talvar 2,2020,Hindi
554,Bamfaad,2020,Hindi
555,Madhubani,2020,Hindi
556,Main Jahan Rahoon,2020,Hindi
557,Adventures of Srimannarayana,2020,Hindi
558,Satte Pe Satta,2020,Hindi
559,Pareeksha,2020,Hindi
560,Khuda Hafiz,2020,Hindi
561,Shootout At Kanpur,2020,Hindi
562,Ek Andar Do Bahar,2020,Hindi
563,Romeo Idiot Desi Juliet,2020,Hindi
564,Zinda Shaheed,2020,Hindi
565,99 Songs,2020,Hindi
566,Attack,2020,Hindi
567,Mujhse Bura Na Koi,2020,Hindi
568,Dance Bar,2020,Hindi
569,Slumdog Karodpati,2020,Hindi
570,Code Name Abdul,2020,Hindi
571,Bedhab,2020,Hindi
572,Mann Bairagi,2020,Hindi
573,Enough is Enough,2020,Hindi
574,Wanton,2020,Hindi
575,Laal Singh Chaddha,2020,Hindi
576,Black Bud,2020,Hindi
577,The Wedding Guest,2020,English
578,Our House ,2020,English
579,All Nighter,2020,English
580,MA,2020,English
581,War On Everyone,2020,English
582,Battle Of The Sexes,2020,English
583,The Wall,2020,English
584,The Shadow Within,2020,English
585,The Ottoman Lieutenant,2020,English
586,Phoenix Forgotten,2020,English
587,Holmes and Watson,2020,English
588,Snatched,2020,English
589,Personal Shopper,2020,English
590,Wingmen,2020,English
591,Black Butterfly,2020,English
592,Sheene,2020,English
593,Keep Watching,2020,English
594,The Shack,2020,English
595,The Force,2020,English
596,Call Me by Your Name,2020,English
597,Cadaver,2020,English
598,Upgrade,2020,English
599,Superfly,2020,English
600,Breakthrough,2020,English
601,Patient Zero,2020,English
602,"Berlin, I Love You",2020,English
603,One Little Finger,2020,English
604,The Last Full Measure,2020,English
605,Stuber,2020,English
606,Untouchable,2020,English
607,Madai Thiranthu,2020,Tamil
608,Paramapadham Vilayattu,2020,Tamil
609,Kural 388,2020,Tamil
610,Thandagan,2020,Tamil
611,Sadhanai Payanam,2020,Tamil
612,Size 7,2020,Tamil
613,Sarbath,2020,Tamil
614,Kutrappayirchi,2020,Tamil
615,4G,2020,Tamil
616,Raangi,2020,Tamil
617,Neeyum Naduvula Peyum,2020,Tamil
618,Vallavanukkum Vallavan,2020,Tamil
619,Mariyappan,2020,Tamil
620,Aiyya Ullan Aiyya,2020,Tamil
621,Gramophone,2020,Tamil
622,Takkar,2020,Tamil
623,IIT Krishnamurthy,2020,Telugu
624,Bangaru Bullodu,2020,Telugu
625,Zinga,2020,Telugu
626,Sadha Nannu Nadipe,2020,Telugu
627,Eakam,2020,Telugu
628,Akshara,2020,Telugu
629,Ugram,2020,Telugu
630,Suvarna Sundari,2020,Telugu
631,1945,2020,Telugu
632,Yesu Kristu Rendava Rakada,2020,Telugu
633,Ayushman Bhava,2020,Telugu
634,Nuvvu Evaro Nenu Evaro,2020,Telugu
635,Gadbad Gondhal,2020,Marathi
636,Sarsenapati Hambirrao,2020,Marathi
637,Ekda Kaay Zhala,2020,Marathi
638,Karaar Premacha,2020,Marathi
639,Patri Boys,2020,Marathi
640,Sorry,2020,Marathi
641,Waaras,2020,Marathi
642,Virataparva,2020,Kannada
643,Selfie Mummy Googl Daddy,2020,Kannada
644,Paagal Premi,2020,Kannada
645,Ek Love Ya,2020,Kannada
646,Godhraa,2020,Kannada
647,Daali,2020,Kannada
648,Inspector Vikram,2020,Kannada
649,RAYMO,2020,Kannada
650,Kotigobba 3,2020,Kannada
651,BMW,2020,Kannada
652,Nriti,2020,Kannada
653,Antagoni Shetty,2020,Kannada
654,777 Charlie,2020,Kannada
655,Happy Days (Kannada),2020,Kannada
656,Nightmare,2020,Kannada
657,Mysore Diaries,2020,Kannada
658,Kuberan,2020,Malayalam
659,Kolaambi,2020,Malayalam
660,Aadujeevitham,2020,Malayalam
661,Anizham Thirunal Marthanda Varma-The King of Travancore,2020,Malayalam
662,Sayanna Varthakal,2020,Malayalam
663,Randamoozham,2020,Malayalam
664,Oh! Baby (Malayalam),2020,Malayalam
665,Shooter,2020,Punjabi
666,Defaulter,2020,Punjabi
667,Daddy Cool Munde Fool 2,2020,Punjabi
668,Ishq Khumari,2020,Punjabi
669,Gol Gappe,2020,Punjabi
670,Debi,2020,Bengali
671,Paran Bandhu Re,2020,Bengali
672,Amar Akashe Megh Brishti ,2020,Bengali
673,Swapnajaal,2020,Bengali
674,Jonaki,2020,Bengali
675,Unicorn,2020,Bengali
676,Bobbyr Bondhura,2020,Bengali
677,Cactus,2020,Bengali
678,Shororipu 2: Jotugriho,2020,Bengali
679,Tu Rajee Re,2020,Gujarati
680,Rabba Ishq Na Hove,2020,Bhojpuri
681,Herogiri,2020,Bhojpuri
682,Dil Hamar Mane Na,2020,Bhojpuri
683,Prem Ki Padhai,2020,Bhojpuri
684,Rumble,2021,English
685,Respect,2021,English
